51,かくとだに,えやはいぶきの,さしもぐさ,さしもしらじな,もゆるおもひを
52,あけぬれば,くるるものとは,しりながら,なほうらめしき,あさぼらけかな
53,なげきつつ,ひとりぬるよの,あくるまは,いかにひさしき,ものとかはしる
54,わすれじの,ゆくすゑまでは,かたければ,けふをかぎりの,いのちともがな
55,たきのおとは,たえてひさしく,なりぬれど,なこそながれて,なほきこえけれ
56,あらざらむ,このよのほかの,おもひでに,いまひとたびの,あふこともがな
57,めぐりあひて,みしやそれとも,わかぬまに,くもがくれにし,よはのつきかな
58,ありまやま,ゐなのささはら,かぜふけば,いでそよひとを,わすれやはする
59,やすらはで,ねなましものを,さよふけて,かたぶくまでの,つきをみしかな
60,おほえやま,いくののみちの,とほければ,まだふみもみず,あまのはしだて
61,いにしへの,ならのみやこの,やへざくら,けふここのへに,にほひぬるかな
62,よをこめて,とりのそらねは,はかるとも,よにあふさかの,せきはゆるさじ
63,いまはただ,おもひたえなむ,とばかりを,ひとづてならで,いふよしもがな
64,あさぼらけ,うぢのかはぎり,たえだえに,あらはれわたる,せぜのあじろぎ
65,うらみわび,ほさぬそでだに,あるものを,こひにくちなむ,なこそをしけれ
66,もろともに,あはれとおもへ,やまざくら,はなよりほかに,しるひともなし
67,はるのよの,ゆめばかりなる,たまくらに,かひなくたたむ,なこそをしけれ
68,こころにも,あらでうきよに,ながらへば,こひしかるべき,よはのつきかな
69,あらしふく,みむろのやまの,もみぢばは,たつたのかはの,にしきなりけり
70,さびしさに,やどをたちいでて,ながむれば,いづくもおなじ,あきのゆふぐれ
71,ゆふされば,かどたのいなば,おとづれて,あしのまろやに,あきかぜぞふく
72,おとにきく,たかしのはまの,あだなみは,かけじやそでの,ぬれもこそすれ
73,たかさごの,をのへのさくら,さきにけり,とやまのかすみ,たたずもあらなむ
74,うかりける,ひとをはつせの,やまおろしよ,はげしかれとは,いのらぬものを
75,ちぎりおきし,させもがつゆを,いのちにて,あはれことしの,あきもいぬめり
76,わたのはら,こぎいでてみれば,ひさかたの,くもゐにまがふ,おきつしらなみ
77,せをはやみ,いはにせかるる,たきがはの,われてもすゑに,あはむとぞおもふ
78,あはぢしま,かよふちどりの,なくこゑに,いくよねざめぬ,すまのせきもり
79,あきかぜに,たなびくくもの,たえまより,もれいづるつきの,かげのさやけさ
80,ながからむ,こころもしらず,くろかみの,みだれてけさは,ものをこそおもへ
81,ほととぎす,なきつるかたを,ながむれば,ただありあけの,つきぞのこれる
82,おもひわび,さてもいのちは,あるものを,うきにたへぬは,なみだなりけり
83,よのなかよ,みちこそなけれ,おもひいる,やまのおくにも,しかぞなくなる
84,ながらへば,またこのごろや,しのばれむ,うしとみしよぞ,いまはこひしき
85,よもすがら,ものおもふころは,あけやらで,ねやのひまさへ,つれなかりけり
86,なげけとて,つきやはものを,おもはする,かこちがほなる,わがなみだかな
87,むらさめの,つゆもまだひぬ,まきのはに,きりたちのぼる,あきのゆふぐれ
88,なにはえの,あしのかりねの,ひとよゆゑ,みをつくしてや,こひわたるべき
89,たまのをよ,たえなばたえね,ながらへば,しのぶることの,よわりもぞする
90,みせばやな,をじまのあまの,そでだにも,ぬれにぞぬれし,いろはかはらず
91,きりぎりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねむ
92,わがそでは,しほひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし
93,よのなかは,つねにもがもな,なぎさこぐ,あまのをぶねの,つなでかなしも
94,みよしのの,やまのあきかぜ,さよふけて,ふるさとさむく,ころもうつなり
95,おほけなく,うきよのたみに,おほふかな,わがたつそまに,すみぞめのそで
96,はなさそふ,あらしのにはの,ゆきならで,ふりゆくものは,わがみなりけり
97,こぬひとを,まつほのうらの,ゆふなぎに,やくやもしほの,みもこがれつつ
98,かぜそよぐ,ならのをがはの,ゆふぐれは,みそぎぞなつの,しるしなりける
99,ひともをし,ひともうらめし,あぢきなく,よをおもふゆゑに,ものおもふみは
100,ももしきや,ふるきのきばの,しのぶにも,なほあまりある,むかしなりけり
